# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun May 26 19:57:28 2024
#
# User preference: *
#
# COLUMN hostname:       Host Name
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_bmag:        B (Johnson) Magnitude
# COLUMN sy_vmag:        V (Johnson) Magnitude
#
hostname,st_spectype,st_teff,st_rad,st_lum,sy_dist,sy_bmag,sy_vmag
16 Cyg B,G3 V,,,,21.1397000,6.8760000,6.2150000
16 Cyg B,,,1.17,,21.1397000,6.8760000,6.2150000
16 Cyg B,,5750.00,1.13,,21.1397000,6.8760000,6.2150000
HIP 96895,,,,,21.1389000,6.6040000,5.9610000
HIP 96895,,,,,21.1389000,6.6040000,5.9610000
16 Cyg B,,5751.00,1.08,0.076,21.1397000,6.8760000,6.2150000
16 Cyg B,,,,,21.1397000,6.8760000,6.2150000
16 Cyg B,,5772.00,,,21.1397000,6.8760000,6.2150000
16 Cyg B,G3 V,,,,21.1397000,6.8760000,6.2150000
16 Cyg B,,,,,21.1397000,6.8760000,6.2150000
16 Cyg B,,5777.25,1.12,0.100,21.1397000,6.8760000,6.2150000
16 Cyg B,G5V,5674.00,1.17,0.143,21.1397000,6.8760000,6.2150000
16 Cyg B,,5674.00,,,21.1397000,6.8760000,6.2150000
16 Cyg C,,,,,,,
16 Cyg B,,5774.00,,,21.1397000,6.8760000,6.2150000
16 Cyg B,,,,,21.1397000,6.8760000,6.2150000
HIP 96895,,,,,21.1389000,6.6040000,5.9610000
16 Cyg B,G0,,,,21.1397000,6.8760000,6.2150000
17 Sco,,4364.06,32.08,,124.9530000,6.6150000,5.2260600
17 Sco,K3 III,4157.00,25.92,2.254,124.9530000,6.6150000,5.2260600
18 Del,G6 III,4980.00,8.80,1.634,76.2220000,6.4300000,5.5104800
18 Del,,5074.86,7.82,,76.2220000,6.4300000,5.5104800
18 Del,,5083.75,7.91,1.576,76.2220000,6.4300000,5.5104800
18 Del,,,,,76.2220000,6.4300000,5.5104800
18 Del,K0,,,,76.2220000,6.4300000,5.5104800
18 Del,G6 III,5054.00,8.00,,76.2220000,6.4300000,5.5104800
18 Del B,,3284.00,,,74.8120000,,
18 Del,,5076.00,,,76.2220000,6.4300000,5.5104800
18 Del,G6 III,4979.00,8.50,1.602,76.2220000,6.4300000,5.5104800
1RXS J160929.1-210524,,4060.00,,-0.370,139.1350000,14.1680000,12.6180000
1RXS J160929.1-210524,K7 V,4060.00,,-0.370,139.1350000,14.1680000,12.6180000
1RXS J160929.1-210524,,3993.00,1.31,-0.403,139.1350000,14.1680000,12.6180000
1RXS J160929.1-210524,K7 V,4060.00,1.35,,139.1350000,14.1680000,12.6180000
1RXS J160929.1-210524,,4076.58,1.18,-0.459,139.1350000,14.1680000,12.6180000
24 Boo,G3 IV,4893.00,10.64,1.774,95.9863000,6.4390000,5.5900000
24 Boo,,5025.75,9.97,1.757,95.9863000,6.4390000,5.5900000
24 Boo,G0,,,,95.9863000,6.4390000,5.5900000
24 Boo,G3 IV,4816.00,12.19,1.877,95.9863000,6.4390000,5.5900000
24 Boo,,5025.78,9.81,,95.9863000,6.4390000,5.5900000
24 Sex,,5069.00,,,72.0691000,7.3990000,6.4535000
24 Sex,,5098.00,4.90,1.164,72.0691000,7.3990000,6.4535000
24 Sex,,5027.00,4.93,,72.0691000,7.3990000,6.4535000
24 Sex,K0 IV,,,,72.0691000,7.3990000,6.4535000
24 Sex,G5,,,,72.0691000,7.3990000,6.4535000
24 Sex,,5020.00,4.97,1.151,72.0691000,7.3990000,6.4535000
2MASS J01033563-5515561 A,M5.5/M6,,,,,16.9930000,15.7880000
2MASS J01033563-5515561 B,,,,,,,
2MASS J01225093-2439505,M3.5 V,3530.00,,-1.720,33.8281000,15.7060000,14.2440000
2MASS J01225093-2439505,,3309.00,0.37,-1.838,33.8281000,15.7060000,14.2440000
2MASS J01225093-2439505,,3976.24,,,33.8281000,15.7060000,14.2440000
2MASS J02192210-3925225,,2873.00,0.27,-2.357,,18.5490000,
2MASS J02192210-3925225,M6,3064.00,0.28,-2.230,,18.5490000,
2MASS J02192210-3925225,,3381.67,,,,18.5490000,
2MASS J0249-0557 A,,2859.00,0.32,-2.221,66.0613000,18.2690000,18.3000000
2MASS J0249-0557 B,M6 V,,,-2.640,,,
2MASS J0249-0557 A,M6 V,,,-2.590,66.0613000,18.2690000,18.3000000
2MASS J03590986+2009361,,2943.00,0.29,-2.246,117.4350000,20.2700000,
2MASS J04372171+2651014,,3243.00,0.64,-1.388,128.4840000,17.2370000,16.1860000
2MASS J04372171+2651014,M V,3100.00,0.84,-1.164,128.4840000,17.2370000,16.1860000
2MASS J04414489+2301513,,2936.00,0.23,-2.444,,,
2MASS J04414489+2301513,M8.5,,,,,,
2MASS J11011926-7732383,,,,,,,
2MASS J11550485-7919108,,3021.00,0.60,-1.568,100.8620000,17.8720000,16.9570000
2MASS J12073346-3932539,M8 V,,,,64.3080000,,
2MASS J12073346-3932539,M8,,,,64.3080000,,
2MASS J12073346-3932539,,2825.00,0.22,-2.561,64.3080000,,
2MASS J12073346-3932539,,,,,64.3080000,,
2MASS J19383260+4603591,,8868.67,,,396.3320000,12.1120000,12.6510000
2MASS J19383260+4603591,,10868.00,0.34,,396.3320000,12.1120000,12.6510000
2MASS J19383260+4603591,,10645.00,2.88,,396.3320000,12.1120000,12.6510000
2MASS J19383260+4603591,,29564.00,0.20,,396.3320000,12.1120000,12.6510000
2MASS J19383260+4603591 Ab,,2829.00,0.17,,,,
2MASS J19383260+4603591,,,,,396.3320000,12.1120000,12.6510000
2MASS J21252752-8138278,,3592.00,0.67,-1.168,34.1154000,13.3080000,11.8040000
2MASS J22362452+4751425,,4085.00,0.62,-1.021,69.5737000,13.7310000,12.3680000
2MASS J22362452+4751425,K7 V,4045.00,,,69.5737000,13.7310000,12.3680000
2MASS J22362452+4751425,,4033.00,0.64,-1.009,69.5737000,13.7310000,12.3680000
30 Ari B,F6 V,6300.00,1.13,,44.6570000,7.4580000,7.0920900
30 Ari A,,,,,45.1372000,6.8550000,6.5019800
30 Ari A,,6695.00,1.51,0.617,45.1372000,6.8550000,6.5019800
30 Ari B,,6331.00,1.41,,44.6570000,7.4580000,7.0920900
30 Ari A,F5,,,,45.1372000,6.8550000,6.5019800
30 Ari B,,,,,44.6570000,7.4580000,7.0920900
30 Ari B,F5,,,,44.6570000,7.4580000,7.0920900
30 Ari B B,,,,,,,
30 Ari B,,,,,44.6570000,7.4580000,7.0920900
30 Ari B,,6211.27,1.34,0.381,44.6570000,7.4580000,7.0920900
30 Ari B,,,1.13,,44.6570000,7.4580000,7.0920900
30 Ari A B,,,,,,,
30 Ari B,,6252.09,1.32,0.379,44.6570000,7.4580000,7.0920900
30 Ari B,,6284.00,1.23,,44.6570000,7.4580000,7.0920900
4 UMa,,4430.00,18.24,2.062,73.4603000,5.7700000,4.5801000
4 UMa,,4531.00,16.75,,73.4603000,5.7700000,4.5801000
4 UMa,K0,,,,73.4603000,5.7700000,4.5801000
4 UMa,,4482.90,16.97,,73.4603000,5.7700000,4.5801000
4 UMa,K1 III,4415.00,18.11,,73.4603000,5.7700000,4.5801000
4 UMa,,,,,73.4603000,5.7700000,4.5801000
42 Dra,K0,,,,90.6545000,6.0050000,4.8262000
42 Dra,,4452.00,19.51,,90.6545000,6.0050000,4.8262000
42 Dra,K1.5 III,4200.00,22.03,,90.6545000,6.0050000,4.8262000
42 Dra B,,3820.00,,,89.9150000,,14.5790000
42 Dra,,4480.00,19.84,2.155,90.6545000,6.0050000,4.8262000
42 Dra,,4397.53,20.27,,90.6545000,6.0050000,4.8262000
47 UMa,,5925.00,,,13.7967000,5.6460000,5.0335200
47 UMa,,,,,13.7967000,5.6460000,5.0335200
47 UMa,,,,,13.7967000,5.6460000,5.0335200
47 UMa,,5892.00,1.23,,13.7967000,5.6460000,5.0335200
47 UMa,,5954.00,,,13.7967000,5.6460000,5.0335200
47 UMa,,5829.16,1.14,,13.7967000,5.6460000,5.0335200
47 UMa,G0,,,,13.7967000,5.6460000,5.0335200
47 UMa,,,,,13.7967000,5.6460000,5.0335200
47 UMa,,,,,13.7967000,5.6460000,5.0335200
47 UMa,,5947.00,1.21,0.216,13.7967000,5.6460000,5.0335200
47 UMa,G0 V,5882.00,,,13.7967000,5.6460000,5.0335200
47 UMa,,,,,13.7967000,5.6460000,5.0335200
47 UMa,G1 V,,,,13.7967000,5.6460000,5.0335200
47 UMa,,5872.00,1.21,0.198,13.7967000,5.6460000,5.0335200
47 UMa,,,1.24,,13.7967000,5.6460000,5.0335200
47 UMa,,5850.00,,,13.7967000,5.6460000,5.0335200
47 UMa,G0 V,,,,13.7967000,5.6460000,5.0335200
47 UMa,G0V,5882.00,1.24,0.233,13.7967000,5.6460000,5.0335200
47 UMa,,,,,13.7967000,5.6460000,5.0335200
47 UMa,,,,,13.7967000,5.6460000,5.0335200
47 UMa,,,,,13.7967000,5.6460000,5.0335200
51 Eri,A5,,,,29.7575000,5.4860000,5.2114900
51 Eri,F0 V,,,,29.7575000,5.4860000,5.2114900
51 Eri,F0 IV,,,0.850,29.7575000,5.4860000,5.2114900
GJ 3305,,,0.49,-1.389,21.8235300,11.9430000,10.5580000
51 Eri,,,,,29.7575000,5.4860000,5.2114900
GJ 3305 B,,,,,,,
51 Eri,,7276.00,,,29.7575000,5.4860000,5.2114900
GJ 3305,M0.5,,,,21.8235300,11.9430000,10.5580000
51 Eri,,7190.10,1.56,0.765,29.7575000,5.4860000,5.2114900
51 Eri,F0V,7257.00,1.52,0.763,29.7575000,5.4860000,5.2114900
51 Eri,,7295.00,1.49,0.752,29.7575000,5.4860000,5.2114900
51 Peg,,,,,15.4614000,6.1040000,5.4530900
51 Peg,,,,,15.4614000,6.1040000,5.4530900
51 Peg,,,,,15.4614000,6.1040000,5.4530900
51 Peg,,,,,15.4614000,6.1040000,5.4530900
51 Peg,,,,,15.4614000,6.1040000,5.4530900
51 Peg,,,,,15.4614000,6.1040000,5.4530900
51 Peg,G2.5 IV,5793.00,1.20,,15.4614000,6.1040000,5.4530900
51 Peg,,,1.15,,15.4614000,6.1040000,5.4530900
51 Peg,,5805.00,,,15.4614000,6.1040000,5.4530900
51 Peg,,5760.76,1.19,,15.4614000,6.1040000,5.4530900
51 Peg,,,,,15.4614000,6.1040000,5.4530900
51 Peg,,5786.00,,,15.4614000,6.1040000,5.4530900
51 Peg,,,,,15.4614000,6.1040000,5.4530900
51 Peg,G2 V+,,,,15.4614000,6.1040000,5.4530900
51 Peg,,,,,15.4614000,6.1040000,5.4530900
51 Peg,,,,,15.4614000,6.1040000,5.4530900
51 Peg,,,,,15.4614000,6.1040000,5.4530900
51 Peg,,5758.00,1.18,0.136,15.4614000,6.1040000,5.4530900
51 Peg,,,,,15.4614000,6.1040000,5.4530900
51 Peg,,,,,15.4614000,6.1040000,5.4530900
51 Peg,G3 V,,,,15.4614000,6.1040000,5.4530900
51 Peg,,,,,15.4614000,6.1040000,5.4530900
51 Peg,,,,,15.4614000,6.1040000,5.4530900
51 Peg,,,,,15.4614000,6.1040000,5.4530900
51 Peg,,,,,15.4614000,6.1040000,5.4530900
51 Peg,,,,,15.4614000,6.1040000,5.4530900
51 Peg,,,,,15.4614000,6.1040000,5.4530900
51 Peg,G5V,5787.00,1.15,0.161,15.4614000,6.1040000,5.4530900
51 Peg,,5830.00,1.16,0.147,15.4614000,6.1040000,5.4530900
51 Peg,,5773.00,1.29,,15.4614000,6.1040000,5.4530900
51 Peg,G0,,,,15.4614000,6.1040000,5.4530900
51 Peg,,,,,15.4614000,6.1040000,5.4530900
51 Peg,,,,,15.4614000,6.1040000,5.4530900
51 Peg,,,,,15.4614000,6.1040000,5.4530900
55 Cnc,,5334.00,,,12.5855000,6.8160000,5.9508400
55 Cnc,,,0.98,,12.5855000,6.8160000,5.9508400
55 Cnc,,5307.00,,,12.5855000,6.8160000,5.9508400
55 Cnc,,5172.00,0.95,,12.5855000,6.8160000,5.9508400
55 Cnc,G8 V,,,,12.5855000,6.8160000,5.9508400
55 Cnc,G8V,5235.00,0.93,-0.180,12.5855000,6.8160000,5.9508400
55 Cnc,,5172.00,0.94,,12.5855000,6.8160000,5.9508400
55 Cnc,K0,,,,12.5855000,6.8160000,5.9508400
55 Cnc,,,,,12.5855000,6.8160000,5.9508400
55 Cnc,,,0.93,,12.5855000,6.8160000,5.9508400
55 Cnc,K0 IV-V,,,,12.5855000,6.8160000,5.9508400
55 Cnc,K0 IV-V,,,,12.5855000,6.8160000,5.9508400
55 Cnc B,,3187.00,0.29,-2.108,12.4773000,14.8840000,13.1520000
55 Cnc,,5234.00,0.94,,12.5855000,6.8160000,5.9508400
55 Cnc,,,,,12.5855000,6.8160000,5.9508400
55 Cnc,,,,,12.5855000,6.8160000,5.9508400
55 Cnc,G8 V,5200.00,,,12.5855000,6.8160000,5.9508400
55 Cnc,G8 V,,0.94,,12.5855000,6.8160000,5.9508400
55 Cnc,,,,,12.5855000,6.8160000,5.9508400
55 Cnc,,5317.89,0.96,,12.5855000,6.8160000,5.9508400
55 Cnc,,,,,12.5855000,6.8160000,5.9508400
55 Cnc,,,,,12.5855000,6.8160000,5.9508400
55 Cnc,,,,,12.5855000,6.8160000,5.9508400
55 Cnc,K0 IV-V,5196.00,0.94,-0.235,12.5855000,6.8160000,5.9508400
55 Cnc,,5306.00,0.95,-0.194,12.5855000,6.8160000,5.9508400
55 Cnc,,5250.00,0.96,-0.197,12.5855000,6.8160000,5.9508400
55 Cnc,,5250.00,0.96,,12.5855000,6.8160000,5.9508400
6 Lyn,,,,,54.6599000,6.7960000,5.8730700
6 Lyn,G5,,,,54.6599000,6.7960000,5.8730700
6 Lyn,,5000.00,5.05,1.156,54.6599000,6.7960000,5.8730700
6 Lyn,,4938.00,5.20,,54.6599000,6.7960000,5.8730700
6 Lyn,,4938.00,5.16,,54.6599000,6.7960000,5.8730700
6 Lyn,,,5.20,,54.6599000,6.7960000,5.8730700
6 Lyn,K0 III-IV,4689.00,6.10,,54.6599000,6.7960000,5.8730700
6 Lyn,K0 IV,4978.00,5.20,1.176,54.6599000,6.7960000,5.8730700
6 Lyn,K0 IV,4941.00,4.94,1.119,54.6599000,6.7960000,5.8730700
6 Lyn,,5022.00,4.83,,54.6599000,6.7960000,5.8730700
61 Vir,,,,,8.5033200,0.0720000,4.6955000
61 Vir,,,,,8.5033200,0.0720000,4.6955000
61 Vir,,,,,8.5033200,0.0720000,4.6955000
61 Vir,,5585.57,1.03,,8.5033200,0.0720000,4.6955000
61 Vir,G7 V,,,,8.5033200,0.0720000,4.6955000
61 Vir,,5558.00,,-0.095,8.5033200,0.0720000,4.6955000
61 Vir,,,0.98,,8.5033200,0.0720000,4.6955000
61 Vir,,,,,8.5033200,0.0720000,4.6955000
61 Vir,,,,,8.5033200,0.0720000,4.6955000
61 Vir,,,,,8.5033200,0.0720000,4.6955000
61 Vir,G7 V,5538.00,0.99,-0.085,8.5033200,0.0720000,4.6955000
61 Vir,G5V,5571.00,0.98,-0.060,8.5033200,0.0720000,4.6955000
61 Vir,G5 V,,,,8.5033200,0.0720000,4.6955000
61 Vir,,,,,8.5033200,0.0720000,4.6955000
61 Vir,,,,,8.5033200,0.0720000,4.6955000
61 Vir,G5 V,5577.00,0.96,-0.095,8.5033200,0.0720000,4.6955000
61 Vir,,,,,8.5033200,0.0720000,4.6955000
61 Vir,,,,,8.5033200,0.0720000,4.6955000
61 Vir,,,,,8.5033200,0.0720000,4.6955000
61 Vir,,,,,8.5033200,0.0720000,4.6955000
61 Vir,,5915.33,0.89,-0.063,8.5033200,0.0720000,4.6955000
61 Vir,,,,,8.5033200,0.0720000,4.6955000
61 Vir,,5562.00,0.98,-0.078,8.5033200,0.0720000,4.6955000
61 Vir,,,,,8.5033200,0.0720000,4.6955000
61 Vir,,5579.00,,,8.5033200,0.0720000,4.6955000
61 Vir,,,,,8.5033200,0.0720000,4.6955000
61 Vir,G5,,,,8.5033200,0.0720000,4.6955000
7 CMa,,4794.52,4.91,,19.8101000,5.0130000,3.9500000
7 CMa,,4761.00,,,19.8101000,5.0130000,3.9500000
7 CMa,K1 III (+ M),,,,19.8101000,5.0130000,3.9500000
7 CMa,K0,,,,19.8101000,5.0130000,3.9500000
7 CMa,,4826.00,4.87,1.063,19.8101000,5.0130000,3.9500000
7 CMa,K1 III,4792.00,2.30,1.053,19.8101000,5.0130000,3.9500000
7 CMa,,4735.00,5.32,1.108,19.8101000,5.0130000,3.9500000
7 CMa,K1 III (+ M),,,,19.8101000,5.0130000,3.9500000
7 CMa,K1III(+M),4799.00,5.01,1.079,19.8101000,5.0130000,3.9500000
7 CMa,K1 III,,,,19.8101000,5.0130000,3.9500000
70 Vir,,5481.86,1.92,,17.9011000,5.6780000,4.9680800
70 Vir,,,,,17.9011000,5.6780000,4.9680800
70 Vir,,5495.00,1.89,,17.9011000,5.6780000,4.9680800
70 Vir,,6245.00,1.50,0.487,17.9011000,5.6780000,4.9680800
70 Vir,,,,,17.9011000,5.6780000,4.9680800
70 Vir,,,,,17.9011000,5.6780000,4.9680800
70 Vir,,5545.00,,,17.9011000,5.6780000,4.9680800
70 Vir,,,,,17.9011000,5.6780000,4.9680800
70 Vir,,,,,17.9011000,5.6780000,4.9680800
70 Vir,,5439.00,1.94,0.451,17.9011000,5.6780000,4.9680800
70 Vir,,,1.88,,17.9011000,5.6780000,4.9680800
70 Vir,,,,,17.9011000,5.6780000,4.9680800
70 Vir,,,,,17.9011000,5.6780000,4.9680800
70 Vir,,5530.00,,,17.9011000,5.6780000,4.9680800
70 Vir,,5500.00,,,17.9011000,5.6780000,4.9680800
70 Vir,G4 V,,,,17.9011000,5.6780000,4.9680800
70 Vir,,,,,17.9011000,5.6780000,4.9680800
70 Vir,G0,,,,17.9011000,5.6780000,4.9680800
70 Vir,,5531.00,1.84,,17.9011000,5.6780000,4.9680800
70 Vir,G5V,5545.00,1.88,0.501,17.9011000,5.6780000,4.9680800
70 Vir,,,,,17.9011000,5.6780000,4.9680800
70 Vir,,5495.00,1.92,0.483,17.9011000,5.6780000,4.9680800
75 Cet B,,3710.00,0.57,-1.256,,,14.1894000
75 Cet,K1 III,,,,82.9613000,6.3660000,5.3532000
75 Cet,,4827.32,10.52,,82.9613000,6.3660000,5.3532000
75 Cet,K0,,,,82.9613000,6.3660000,5.3532000
75 Cet,G3 III,4846.00,10.50,1.730,82.9613000,6.3660000,5.3532000
75 Cet,,4904.00,,,82.9613000,6.3660000,5.3532000
75 Cet,G3 III,4809.00,10.38,1.714,82.9613000,6.3660000,5.3532000
75 Cet,,4846.25,10.62,1.749,82.9613000,6.3660000,5.3532000
8 UMi,K0,,,,162.5520000,7.8340000,6.8329500
8 UMi,K0,4847.40,9.90,,162.5520000,7.8340000,6.8329500
8 UMi,,4847.00,10.30,,162.5520000,7.8340000,6.8329500
8 UMi,,4921.22,10.03,1.725,162.5520000,7.8340000,6.8329500
8 UMi,,4906.00,10.15,,162.5520000,7.8340000,6.8329500
81 Cet,G5 III,4734.00,11.21,1.760,101.2600000,6.6750000,5.6430700
81 Cet,,4845.00,,,101.2600000,6.6750000,5.6430700
81 Cet,,,,,101.2600000,6.6750000,5.6430700
81 Cet,K0 III,,,,101.2600000,6.6750000,5.6430700
81 Cet,,4829.75,11.43,1.806,101.2600000,6.6750000,5.6430700
81 Cet,K0,,,,101.2600000,6.6750000,5.6430700
81 Cet,G5 III,4785.00,11.00,1.778,101.2600000,6.6750000,5.6430700
81 Cet,,4844.29,11.29,,101.2600000,6.6750000,5.6430700
91 Aqr,,4681.00,,,44.0304000,5.3500000,4.2394600
91 Aqr,,4700.00,10.58,1.692,44.0304000,5.3500000,4.2394600
HD 219449 B,,,,,32.9037000,10.1220000,9.1880600
91 Aqr,K0 III,4665.00,11.00,,44.0304000,5.3500000,4.2394600
91 Aqr,,4658.92,10.39,,44.0304000,5.3500000,4.2394600
91 Aqr,,,,,44.0304000,5.3500000,4.2394600
HD 219449 C,,,,,,,
91 Aqr,K0/1 III,,,,44.0304000,5.3500000,4.2394600
91 Aqr,K0,,,,44.0304000,5.3500000,4.2394600
AB Aur,,9770.00,,1.771,162.1270000,7.1930000,7.0760000
AB Aur,,7920.00,2.96,1.492,162.1270000,7.1930000,7.0760000
AB Pic,,5068.50,1.00,-0.226,50.0475000,10.1480000,9.1300000
AB Pic,,,,,50.0475000,10.1480000,9.1300000
AB Pic,K2 V,,,,50.0475000,10.1480000,9.1300000
AB Pic,K0,,,,50.0475000,10.1480000,9.1300000
AB Pic,,5378.00,0.73,-0.400,50.0475000,10.1480000,9.1300000
AB Pic,K2 V,,,,50.0475000,10.1480000,9.1300000
AB Pic,,5027.00,1.02,-0.224,50.0475000,10.1480000,9.1300000
AB Pic,,5285.00,,,50.0475000,10.1480000,9.1300000
AF Lep,,,,,26.8564000,6.8540000,6.3320000
AF Lep,F7/8V,6496.00,1.22,0.290,26.8564000,6.8540000,6.3320000
AF Lep,,6409.37,1.08,0.247,26.8564000,6.8540000,6.3320000
AF Lep,F7/8 V,,,,26.8564000,6.8540000,6.3320000
AF Lep,F5,,,,26.8564000,6.8540000,6.3320000
AF Lep,,,,,26.8564000,6.8540000,6.3320000
AF Lep,,,1.22,,26.8564000,6.8540000,6.3320000
AF Lep,F8 V,6100.00,1.25,,26.8564000,6.8540000,6.3320000
AF Lep,F8 V,6130.00,1.25,,26.8564000,6.8540000,6.3320000
AF Lep,F8 V,6140.00,,,26.8564000,6.8540000,6.3320000
AF Lep,,,,,26.8564000,6.8540000,6.3320000
AF Lep,F8 V(n) (k),,,,26.8564000,6.8540000,6.3320000
AU Mic,,3588.00,0.70,,9.7221000,10.2090000,8.8100000
AU Mic,,,0.70,,9.7221000,10.2090000,8.8100000
AU Mic,M1VE,3753.00,0.70,-1.046,9.7221000,10.2090000,8.8100000
AU Mic,K5,,,,9.7221000,10.2090000,8.8100000
AU Mic,,3700.00,0.75,-1.046,9.7221000,10.2090000,8.8100000
AU Mic,M1,3700.00,0.75,-1.046,9.7221000,10.2090000,8.8100000
AU Mic,,,,,9.7221000,10.2090000,8.8100000
AU Mic,,,0.75,,9.7221000,10.2090000,8.8100000
AU Mic,,,,,9.7221000,10.2090000,8.8100000
AU Mic,M1 VE,,,,9.7221000,10.2090000,8.8100000
AU Mic,,,,,9.7221000,10.2090000,8.8100000
AU Mic,,3665.00,0.82,-0.990,9.7221000,10.2090000,8.8100000
AU Mic,M0.0,,,,9.7221000,10.2090000,8.8100000
AU Mic,,3700.00,0.75,-1.046,9.7221000,10.2090000,8.8100000
AU Mic,,3700.00,0.75,,9.7221000,10.2090000,8.8100000
AU Mic,,3678.00,0.74,-1.038,9.7221000,10.2090000,8.8100000
