# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Jun 17 22:12:28 2024
#
# User preference: *
#
# CONSTRAINT:  where (default_flag > 0
# CONSTRAINT:  and disc_facility like '%Kepler%')
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_masse:       Planet Mass [Earth Mass]
# COLUMN pl_masseerr1:   Planet Mass [Earth Mass] Upper Unc.
# COLUMN pl_masseerr2:   Planet Mass [Earth Mass] Lower Unc.
# COLUMN pl_massj:       Planet Mass [Jupiter Mass]
# COLUMN pl_massjerr1:   Planet Mass [Jupiter Mass] Upper Unc.
# COLUMN pl_massjerr2:   Planet Mass [Jupiter Mass] Lower Unc.
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_ratdor:      Ratio of Semi-Major Axis to Stellar Radius
# COLUMN pl_ratdorerr1:  Ratio of Semi-Major Axis to Stellar Radius Upper Unc.
# COLUMN pl_ratdorerr2:  Ratio of Semi-Major Axis to Stellar Radius Lower Unc.
# COLUMN pl_ratror:      Ratio of Planet to Stellar Radius
# COLUMN pl_ratrorerr1:  Ratio of Planet to Stellar Radius Upper Unc.
# COLUMN pl_ratrorerr2:  Ratio of Planet to Stellar Radius Lower Unc.
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_lumerr1:     Stellar Luminosity Upper Unc. [log(Solar)]
# COLUMN st_lumerr2:     Stellar Luminosity Lower Unc. [log(Solar)]
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN st_ageerr1:     Stellar Age Upper Unc. [Gyr]
# COLUMN st_ageerr2:     Stellar Age Lower Unc. [Gyr]
# COLUMN st_dens:        Stellar Density [g/cm**3]
# COLUMN st_denserr1:    Stellar Density Upper Unc. [g/cm**3]
# COLUMN st_denserr2:    Stellar Density Lower Unc. [g/cm**3]
# COLUMN st_vsin:        Stellar Rotational Velocity [km/s]
# COLUMN st_vsinerr1:    Stellar Rotational Velocity [km/s] Upper Unc.
# COLUMN st_vsinerr2:    Stellar Rotational Velocity [km/s] Lower Unc.
# COLUMN st_rotp:        Stellar Rotational Period [days]
# COLUMN st_rotperr1:    Stellar Rotational Period [days] Upper Unc.
# COLUMN st_rotperr2:    Stellar Rotational Period [days] Lower Unc.
# COLUMN st_radv:        Systemic Radial Velocity [km/s]
# COLUMN st_radverr1:    Systemic Radial Velocity Upper Unc. [km/s]
# COLUMN st_radverr2:    Systemic Radial Velocity Lower Unc. [km/s]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_bmag:        B (Johnson) Magnitude
# COLUMN sy_bmagerr1:    B (Johnson) Magnitude Upper Unc
# COLUMN sy_bmagerr2:    B (Johnson) Magnitude Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_radj,pl_radjerr1,pl_radjerr2,pl_masse,pl_masseerr1,pl_masseerr2,pl_massj,pl_massjerr1,pl_massjerr2,pl_dens,pl_denserr1,pl_denserr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_insol,pl_insolerr1,pl_insolerr2,pl_eqt,pl_eqterr1,pl_eqterr2,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_rad,st_raderr1,st_raderr2,st_mass,st_masserr1,st_masserr2,st_met,st_meterr1,st_meterr2,st_metratio,st_lum,st_lumerr1,st_lumerr2,st_logg,st_loggerr1,st_loggerr2,st_age,st_ageerr1,st_ageerr2,st_dens,st_denserr1,st_denserr2,st_vsin,st_vsinerr1,st_vsinerr2,st_rotp,st_rotperr1,st_rotperr2,st_radv,st_radverr1,st_radverr2,sy_dist,sy_disterr1,sy_disterr2,sy_bmag,sy_bmagerr1,sy_bmagerr2,sy_vmag,sy_vmagerr1,sy_vmagerr2
Kepler-1149 b,Kepler-1149,1,1,1,Transit,2016,Kepler,3.73089898,0.00001502,-0.00001502,,,,1.440,0.260,-0.170,0.128,0.023,-0.015,,,,,,,,,,,,,,,,,,,,,,0.01332,0.00016,-0.00077,,5833.00,117.20,-177.03,1.01,0.18,-0.10,1.02,0.07,-0.07,0.020,0.149,-0.168,[Fe/H],,,,4.43,0.07,-0.14,3.980,2.870,-2.240,,,,,,,,,,,,,1217.7300000,45.6050000,-45.6050000,15.8770000,0.1300000,-0.1300000,15.1460000,0.0460000,-0.0460000
Kepler-115 b,Kepler-115,1,1,2,Transit,2014,Kepler,2.40367900,0.00001200,-0.00001200,0.036000,,,1.090,0.210,-0.210,0.097,0.019,-0.019,,,,,,,,,,,,,,,,,,,,,,,,,,5979.00,132.00,-132.00,1.21,0.23,-0.23,,,,,,,,,,,4.31,0.15,-0.15,,,,,,,,,,,,,,,,623.6090000,7.0210000,-6.8690000,14.3190000,0.0190000,-0.0190000,13.5450000,0.0690000,-0.0690000
Kepler-115 c,Kepler-115,1,1,2,Transit,2014,Kepler,8.99088900,0.00002100,-0.00002100,0.087000,,,2.600,0.500,-0.500,0.232,0.045,-0.045,,,,,,,,,,,,,,,,,,,,,,,,,,5979.00,132.00,-132.00,1.21,0.23,-0.23,,,,,,,,,,,4.31,0.15,-0.15,,,,,,,,,,,,,,,,623.6090000,7.0210000,-6.8690000,14.3190000,0.0190000,-0.0190000,13.5450000,0.0690000,-0.0690000
Kepler-1150 b,Kepler-1150,1,2,1,Transit,2016,Kepler,2.78786839,0.00000826,-0.00000826,,,,1.020,0.060,-0.060,0.091,0.005,-0.005,,,,,,,,,,,,,,,,,,,,,,0.01280,0.00051,-0.00056,,4754.00,80.38,-77.33,0.72,0.03,-0.03,0.76,0.03,-0.04,0.010,0.147,-0.162,[Fe/H],,,,4.61,0.02,-0.03,4.680,5.870,-2.720,,,,,,,,,,,,,358.5180000,2.3340000,-2.3040000,15.0370000,0.0410000,-0.0410000,14.7480000,0.1370000,-0.1370000
Kepler-1151 b,Kepler-1151,1,1,1,Transit,2016,Kepler,65.64784240,0.00040100,-0.00040100,,,,2.220,0.240,-0.170,0.198,0.021,-0.015,,,,,,,,,,,,,,,,,,,,,,0.02373,0.00108,-0.00068,,5470.00,97.19,-93.64,0.85,0.08,-0.06,0.88,0.05,-0.06,-0.110,0.166,-0.187,[Fe/H],,,,4.53,0.05,-0.09,4.370,5.890,-2.710,,,,,,,,,,,,,682.4360000,10.9630000,-10.9630000,15.5670000,0.0170000,-0.0170000,15.0050000,0.0800000,-0.0800000
Kepler-1152 b,Kepler-1152,1,1,1,Transit,2016,Kepler,1.64680191,0.00000267,-0.00000267,,,,0.870,0.050,-0.060,0.078,0.004,-0.005,,,,,,,,,,,,,,,,,,,,,,0.01545,0.00038,-0.00076,,3964.00,46.47,-45.68,0.53,0.03,-0.03,0.55,0.04,-0.03,-0.250,0.136,-0.108,[Fe/H],,,,4.73,0.02,-0.02,3.470,5.260,-1.860,,,,,,,,,,,,,215.2330000,0.9025000,-0.9025000,16.8630000,0.1070000,-0.1070000,15.3100000,0.0530000,-0.0530000
Kepler-1153 b,Kepler-1153,1,1,1,Transit,2016,Kepler,1.75583533,0.00000439,-0.00000439,,,,1.730,0.210,-0.110,0.154,0.019,-0.010,,,,,,,,,,,,,,,,,,,,,,0.01848,0.00089,-0.00032,,5470.00,75.20,-93.55,0.88,0.10,-0.05,0.91,0.04,-0.04,0.030,0.126,-0.164,[Fe/H],,,,4.52,0.04,-0.11,4.570,6.170,-2.880,,,,,,,,,,,,,1119.4900000,43.6000000,-40.5100000,16.9840000,0.0730000,-0.0730000,15.7670000,0.5380000,-0.5380000
Kepler-1154 b,Kepler-1154,1,1,2,Transit,2016,Kepler,5.18561420,0.00002676,-0.00002676,,,,2.340,1.060,-0.490,0.209,0.095,-0.044,,,,,,,,,,,,,,,,,,,,,,0.01496,0.00051,-0.00050,,6327.00,317.30,-262.85,1.43,0.65,-0.29,1.26,0.25,-0.16,0.040,0.140,-0.161,[Fe/H],,,,4.23,0.15,-0.24,2.290,1.280,-0.780,,,,,,,,,,,,,1460.1000000,44.7300000,-42.1900000,15.5710000,0.0660000,-0.0660000,14.9530000,0.1720000,-0.1720000
Kepler-1154 c,Kepler-1154,1,1,2,Transit,2016,Kepler,8.45808312,0.00004757,-0.00004757,,,,2.360,0.950,-0.490,0.211,0.085,-0.044,,,,,,,,,,,,,,,,,,,,,,0.01493,0.00074,-0.00044,,6327.00,317.30,-262.85,1.43,0.65,-0.29,1.26,0.25,-0.16,0.040,0.140,-0.161,[Fe/H],,,,4.23,0.15,-0.24,2.290,1.280,-0.780,,,,,,,,,,,,,1460.1000000,44.7300000,-42.1900000,15.5710000,0.0660000,-0.0660000,14.9530000,0.1720000,-0.1720000
Kepler-1155 b,Kepler-1155,1,1,1,Transit,2016,Kepler,33.46974300,0.00020030,-0.00020030,,,,2.030,0.450,-0.200,0.181,0.040,-0.018,,,,,,,,,,,,,,,,,,,,,,0.01803,0.00086,-0.00035,,5842.00,115.89,-141.61,1.03,0.22,-0.10,1.03,0.07,-0.06,0.040,0.141,-0.156,[Fe/H],,,,4.43,0.07,-0.16,3.720,2.800,-2.050,,,,,,,,,,,,,1128.7200000,,,15.7130000,0.0610000,-0.0610000,14.7990000,0.1370000,-0.1370000
Kepler-1156 b,Kepler-1156,1,1,1,Transit,2016,Kepler,11.89520511,0.00006499,-0.00006499,,,,1.320,0.140,-0.090,0.118,0.012,-0.008,,,,,,,,,,,,,,,,,,,,,,0.01208,0.00052,-0.00037,,5778.00,67.42,-59.01,1.00,0.09,-0.06,1.00,0.03,-0.04,0.020,0.096,-0.095,[Fe/H],,,,4.44,0.06,-0.08,4.470,3.000,-2.380,,,,,,,,,,,,,691.3310000,7.2930000,-7.1460000,15.0270000,0.0420000,-0.0420000,14.2620000,0.1260000,-0.1260000
Kepler-1157 b,Kepler-1157,1,1,1,Transit,2016,Kepler,4.45743164,0.00001699,-0.00001699,,,,1.090,0.040,-0.200,0.097,0.004,-0.018,,,,,,,,,,,,,,,,,,,,,,0.01441,0.00006,-0.00248,,4679.00,54.66,-58.05,0.71,0.03,-0.03,0.76,0.03,-0.04,0.050,0.147,-0.177,[Fe/H],,,,4.62,0.01,-0.03,3.390,6.100,-1.760,,,,,,,,,,,,,342.1440000,2.4160000,-2.3830000,15.9160000,0.0790000,-0.0790000,14.6030000,0.2400000,-0.2400000
Kepler-1158 b,Kepler-1158,1,1,1,Transit,2016,Kepler,13.53962930,0.00009329,-0.00009329,,,,2.340,0.460,-0.460,0.209,0.041,-0.041,,,,,,,,,,,,,,,,,,,,,,0.01060,0.00041,-0.00035,,6203.00,91.16,-81.11,1.95,0.37,-0.38,1.41,0.13,-0.13,0.180,0.096,-0.100,[Fe/H],,,,4.01,0.15,-0.12,2.880,0.550,-0.550,,,,,,,,,,,,,1484.2500000,36.9350000,-36.9350000,14.4330000,0.0360000,-0.0360000,13.6180000,0.1030000,-0.1030000
Kepler-1159 b,Kepler-1159,1,1,1,Transit,2016,Kepler,22.70816791,0.00009541,-0.00009541,,,,2.370,1.030,-0.370,0.211,0.092,-0.033,,,,,,,,,,,,,,,,,,,,,,0.01681,0.00053,-0.00064,,6217.00,147.74,-196.66,1.28,0.56,-0.20,1.19,0.17,-0.11,0.040,0.139,-0.148,[Fe/H],,,,4.30,0.11,-0.25,2.750,1.080,-1.070,,,,,,,,,,,,,1213.7100000,28.2200000,-28.2200000,15.6190000,0.0670000,-0.0670000,14.6780000,0.0690000,-0.0690000
Kepler-116 b,Kepler-116,1,1,2,Transit,2014,Kepler,5.96873400,0.00000900,-0.00000900,0.069000,,,3.420,0.650,-0.650,0.305,0.058,-0.058,,,,,,,,,,,,,,,,,,,,,,,,,,6142.00,100.00,-100.00,1.45,0.27,-0.27,,,,,,,,,,,4.20,0.15,-0.15,,,,,,,,,,,,,,,,955.1680000,15.5640000,-15.0810000,14.4340000,0.0290000,-0.0290000,13.7440000,0.1030000,-0.1030000
Kepler-116 c,Kepler-116,1,1,2,Transit,2014,Kepler,13.07163000,0.00005600,-0.00005600,0.116000,,,2.300,0.440,-0.440,0.205,0.039,-0.039,,,,,,,,,,,,,,,,,,,,,,,,,,6142.00,100.00,-100.00,1.45,0.27,-0.27,,,,,,,,,,,4.20,0.15,-0.15,,,,,,,,,,,,,,,,955.1680000,15.5640000,-15.0810000,14.4340000,0.0290000,-0.0290000,13.7440000,0.1030000,-0.1030000
Kepler-1160 b,Kepler-1160,1,1,1,Transit,2016,Kepler,7.97034958,0.00003122,-0.00003122,,,,2.140,0.280,-0.140,0.191,0.025,-0.012,,,,,,,,,,,,,,,,,,,,,,0.02200,0.00097,-0.00058,,5519.00,61.23,-63.44,0.89,0.11,-0.05,0.92,0.04,-0.04,0.010,0.127,-0.163,[Fe/H],,,,4.51,0.04,-0.11,4.570,5.710,-2.840,,,,,,,,,,,,,1077.6300000,38.1000000,-35.6400000,16.9360000,0.0560000,-0.0560000,16.0060000,0.2400000,-0.2400000
Kepler-1161 b,Kepler-1161,1,1,1,Transit,2016,Kepler,10.71252541,0.00003876,-0.00003876,,,,2.130,0.500,-0.130,0.190,0.045,-0.012,,,,,,,,,,,,,,,,,,,,,,0.03413,0.00789,-0.00127,,4253.00,55.15,-52.76,0.57,0.03,-0.03,0.59,0.03,-0.04,-0.350,0.133,-0.148,[Fe/H],,,,4.70,0.02,-0.02,3.390,4.590,-1.820,,,,,,,,,,,,,547.7260000,9.8530000,-9.8530000,17.2250000,0.0690000,-0.0690000,16.1630000,0.3320000,-0.3320000
Kepler-1162 b,Kepler-1162,1,1,2,Transit,2016,Kepler,32.56370690,0.00024720,-0.00024720,,,,2.210,0.500,-0.210,0.197,0.045,-0.019,,,,,,,,,,,,,,,,,,,,,,0.02433,0.00500,-0.00183,,5390.00,61.74,-58.89,0.84,0.07,-0.05,0.89,0.04,-0.04,-0.030,0.148,-0.149,[Fe/H],,,,4.54,0.04,-0.08,4.370,5.890,-2.740,,,,,,,,,,,,,940.2110000,26.1300000,-24.7790000,16.4390000,0.0680000,-0.0680000,15.7490000,0.0920000,-0.0920000
Kepler-1162 c,Kepler-1162,1,1,2,Transit,2023,Kepler,59.28406400,0.00069920,-0.00069920,0.283200,,,1.810,0.130,-0.110,,,,,,,,,,,,,0.000000,,,6.14,1.39,-1.01,401,,,71.400000,33.000000,-33.000000,0.01930,0.00029,-0.00177,,5225.00,83.00,-73.00,0.86,0.06,-0.05,0.86,0.05,-0.04,0.140,0.150,-0.150,[Fe/H],,,,4.50,0.05,-0.05,,,,1.9561,1.8086,-0.1340,,,,,,,,,,940.2110000,26.1300000,-24.7790000,16.4390000,0.0680000,-0.0680000,15.7490000,0.0920000,-0.0920000
Kepler-1163 b,Kepler-1163,1,1,1,Transit,2016,Kepler,6.11786898,0.00002808,-0.00002808,,,,1.030,0.170,-0.110,0.092,0.015,-0.010,,,,,,,,,,,,,,,,,,,,,,0.00726,0.00011,-0.00034,,6302.00,69.67,-63.95,1.35,0.23,-0.13,1.22,0.07,-0.05,0.020,0.079,-0.085,[Fe/H],,,,4.26,0.08,-0.11,2.880,0.550,-0.952,,,,,,,,,,,,,478.6470000,4.5930000,-4.5080000,12.6550000,0.0190000,-0.0190000,12.2080000,0.0690000,-0.0690000
Kepler-1164 b,Kepler-1164,1,1,1,Transit,2016,Kepler,3.97599768,0.00001086,-0.00001086,,,,1.120,0.040,-0.070,0.100,0.004,-0.006,,,,,,,,,,,,,,,,,,,,,,0.01345,0.00026,-0.00068,,5183.00,80.28,-63.78,0.79,0.02,-0.02,0.85,0.03,-0.04,-0.030,0.105,-0.105,[Fe/H],,,,4.57,0.02,-0.02,3.630,2.800,-1.820,,,,,,,,,,,,,431.6220000,3.2440000,-3.1960000,15.8960000,0.0650000,-0.0650000,14.3210000,0.1370000,-0.1370000
Kepler-1165 b,Kepler-1165,1,1,2,Transit,2016,Kepler,9.47852200,0.00005909,-0.00005909,,,,1.550,0.500,-0.190,0.138,0.045,-0.017,,,,,,,,,,,,,,,,,,,,,,0.01210,0.00047,-0.00028,,6080.00,97.21,-115.97,1.18,0.39,-0.14,1.13,0.12,-0.08,0.050,0.135,-0.155,[Fe/H],,,,4.34,0.09,-0.20,3.240,1.360,-1.460,,,,,,,,,,,,,1575.2000000,50.3700000,-47.3900000,14.5610000,0.0650000,-0.0650000,14.5210000,0.1140000,-0.1140000
Kepler-1165 c,Kepler-1165,1,1,2,Transit,2021,Kepler,29.96870041,,,,,,3.361,,,0.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,6249.00,174.00,-217.00,1.08,0.34,-0.11,1.13,0.16,-0.16,-0.040,0.250,-0.300,[Fe/H],,,,4.43,0.05,-0.20,,,,0.7903,0.1484,-0.1869,,,,,,,,,,1575.2000000,50.3700000,-47.3900000,14.5610000,0.0650000,-0.0650000,14.5210000,0.1140000,-0.1140000
Kepler-1166 b,Kepler-1166,1,1,1,Transit,2016,Kepler,33.24068820,0.00028000,-0.00028000,,,,1.690,0.620,-0.140,0.151,0.055,-0.012,,,,,,,,,,,,,,,,,,,,,,0.01752,0.00626,-0.00089,,5446.00,83.15,-87.62,0.86,0.10,-0.06,0.90,0.04,-0.05,-0.020,0.143,-0.180,[Fe/H],,,,4.53,0.04,-0.11,4.900,6.660,-3.130,,,,,,,,,,,,,634.9060000,7.9460000,-7.9460000,15.3120000,0.0460000,-0.0460000,14.6500000,0.0690000,-0.0690000
Kepler-1167 b,Kepler-1167,1,1,1,Transit,2016,Kepler,1.00393374,0.00000268,-0.00000268,,,,1.710,0.120,-0.120,0.153,0.011,-0.011,,,,,,,,,,,,,,,,,,,,,,0.02103,0.00093,-0.00074,,4971.00,96.57,-125.10,0.75,0.04,-0.04,0.79,0.04,-0.05,-0.050,0.163,-0.175,[Fe/H],,,,4.60,0.03,-0.04,4.270,6.200,-2.480,,,,,,,,,,,,,820.9050000,25.6750000,-24.1890000,17.1330000,0.0690000,-0.0690000,16.0470000,0.2290000,-0.2290000
Kepler-1168 b,Kepler-1168,1,1,1,Transit,2016,Kepler,55.82265390,0.00038710,-0.00038710,,,,2.500,0.180,-0.130,0.223,0.016,-0.012,,,,,,,,,,,,,,,,,,,,,,0.02752,0.00137,-0.00080,,5157.00,47.04,-55.91,0.82,0.04,-0.04,0.87,0.04,-0.04,0.130,0.152,-0.167,[Fe/H],,,,4.56,0.03,-0.06,4.270,5.870,-2.530,,,,,,,,,,,,,752.6660000,15.2570000,-15.2570000,16.6330000,0.1260000,-0.1260000,15.7550000,0.1370000,-0.1370000
Kepler-1169 b,Kepler-1169,1,1,1,Transit,2016,Kepler,6.11009134,0.00002806,-0.00002806,,,,0.940,0.060,-0.060,0.084,0.005,-0.005,,,,,,,,,,,,,,,,,,,,,,0.00732,0.00031,-0.00030,,6191.00,80.54,-76.47,1.23,0.06,-0.05,1.24,0.04,-0.04,0.260,0.067,-0.059,[Fe/H],,,,4.35,0.03,-0.03,1.380,0.508,-0.270,,,,,,,,,,,,,522.8230000,5.1310000,-5.0340000,13.4840000,0.0530000,-0.0530000,12.7070000,0.0570000,-0.0570000
Kepler-117 b,Kepler-117,1,1,2,Transit,2014,Kepler,18.79592280,0.00000750,-0.00000750,0.144500,0.004700,-0.001400,8.059,0.269,-0.269,0.719,0.024,-0.024,29.87500,10.48800,-10.48800,0.09400,0.03300,-0.03300,0.30000,0.11000,-0.11000,0.049300,0.006200,-0.006200,,,,984,18,-18,19.670000,0.370000,-0.370000,0.04630,0.00025,-0.00025,F8 V,6150.00,110.00,-110.00,1.61,0.05,-0.05,1.13,0.13,-0.02,-0.040,0.100,-0.100,[Fe/H],,,,4.10,0.02,-0.02,5.300,1.400,-1.400,0.4100,0.0140,-0.0250,6.0000,2.0000,-2.0000,,,,-12.95,0.01,-0.01,1455.5700000,38.3850000,-38.3850000,15.0560000,0.0290000,-0.0290000,14.2820000,0.1260000,-0.1260000
Kepler-117 c,Kepler-117,1,1,2,Transit,2014,Kepler,50.79039100,0.00001400,-0.00001400,0.280400,0.009200,-0.002800,12.341,0.392,-0.392,1.101,0.035,-0.035,584.78000,57.21000,-57.21000,1.84000,0.18000,-0.18000,1.74000,0.18000,-0.18000,0.032300,0.003300,-0.003300,,,,704,15,-15,38.180000,0.720000,-0.720000,0.07052,0.00034,-0.00034,F8 V,6150.00,110.00,-110.00,1.61,0.05,-0.05,1.13,0.13,-0.02,-0.040,0.100,-0.100,[Fe/H],,,,4.10,0.02,-0.02,5.300,1.400,-1.400,0.4100,0.0140,-0.0250,6.0000,2.0000,-2.0000,,,,-12.95,0.01,-0.01,1455.5700000,38.3850000,-38.3850000,15.0560000,0.0290000,-0.0290000,14.2820000,0.1260000,-0.1260000
Kepler-1170 b,Kepler-1170,1,1,1,Transit,2016,Kepler,9.98969327,0.00004242,-0.00004242,,,,2.410,0.190,-0.170,0.215,0.017,-0.015,,,,,,,,,,,,,,,,,,,,,,0.02931,0.00138,-0.00066,,5069.00,120.38,-96.50,0.76,0.05,-0.05,0.80,0.04,-0.05,-0.090,0.177,-0.189,[Fe/H],,,,4.58,0.03,-0.05,4.900,5.890,-3.050,,,,,,,,,,,,,1050.4500000,37.9700000,-35.4600000,16.8640000,0.0450000,-0.0450000,16.2040000,0.1380000,-0.1380000
Kepler-1171 b,Kepler-1171,1,1,1,Transit,2016,Kepler,1.44259224,0.00000219,-0.00000219,,,,2.560,0.680,-0.500,0.228,0.061,-0.045,,,,,,,,,,,,,,,,,,,,,,0.01226,0.00028,-0.00011,,7044.00,277.69,-199.09,1.95,0.51,-0.38,1.58,0.18,-0.17,-0.010,0.152,-0.175,[Fe/H],,,,4.05,0.15,-0.15,1.350,0.330,-0.190,,,,,,,,,,,,,573.0000000,10.1020000,-9.7650000,11.8510000,0.1980000,-0.1980000,11.6470000,0.0160000,-0.0160000
Kepler-1172 b,Kepler-1172,1,1,1,Transit,2016,Kepler,26.02044230,0.00018860,-0.00018860,,,,3.200,0.400,-0.280,0.285,0.036,-0.025,,,,,,,,,,,,,,,,,,,,,,0.03320,0.00103,-0.00124,,5558.00,144.94,-137.66,0.89,0.11,-0.07,0.92,0.06,-0.06,-0.040,0.145,-0.193,[Fe/H],,,,4.51,0.05,-0.10,4.370,5.380,-2.680,,,,,,,,,,,,,1306.5300000,53.1200000,-53.1200000,16.9500000,0.0700000,-0.0700000,16.0830000,0.0920000,-0.0920000
Kepler-1173 b,Kepler-1173,1,1,1,Transit,2016,Kepler,0.76985360,0.00000120,-0.00000120,,,,0.890,0.230,-0.070,0.079,0.021,-0.006,,,,,,,,,,,,,,,,,,,,,,0.01014,0.00249,-0.00052,,5252.00,92.48,-116.76,0.82,0.06,-0.04,0.86,0.04,-0.05,0.000,0.148,-0.164,[Fe/H],,,,4.55,0.03,-0.07,4.790,6.400,-3.000,,,,,,,,,,,,,377.0600000,2.3975000,-2.3975000,14.9400000,0.0000000,0.0000000,13.8960000,0.1030000,-0.1030000
Kepler-1174 b,Kepler-1174,1,1,1,Transit,2016,Kepler,6.89225223,0.00002664,-0.00002664,,,,1.590,0.310,-0.160,0.142,0.028,-0.014,,,,,,,,,,,,,,,,,,,,,,0.01379,0.00060,-0.00044,,5936.00,117.34,-103.81,1.04,0.20,-0.10,1.04,0.07,-0.07,-0.040,0.148,-0.205,[Fe/H],,,,4.42,0.07,-0.14,3.550,2.370,-1.870,,,,,,,,,,,,,1408.7500000,27.7000000,-26.6700000,14.6780000,0.2270000,-0.2270000,14.2710000,0.1490000,-0.1490000
Kepler-1175 b,Kepler-1175,1,1,1,Transit,2016,Kepler,37.94563000,0.00017320,-0.00017320,,,,2.990,0.270,-0.230,0.267,0.024,-0.021,,,,,,,,,,,,,,,,,,,,,,0.03184,0.00105,-0.00100,,5453.00,66.21,-80.38,0.86,0.07,-0.06,0.90,0.04,-0.05,-0.040,0.153,-0.178,[Fe/H],,,,4.53,0.04,-0.08,4.170,5.560,-2.500,,,,,,,,,,,,,1121.8900000,61.4500000,-55.5000000,16.9400000,0.1080000,-0.1080000,15.9720000,0.1150000,-0.1150000
